Statut CE,Statut FR,Appellation,Dénomination,Produit,Catégorie générale,Sous Catégorie,Couleur,Sucrosité,Mention,Code INAO,url site
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Sainte-Maure de Touraine,Sainte-Maure de Touraine,Sainte-Maure de Touraine,Fromages,Chèvre,,,,,http://www.inao.gouv.fr/produit/16988
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Rigotte de Condrieu,Rigotte de Condrieu,Rigotte de Condrieu,Fromages,Chèvre,,,,,http://www.inao.gouv.fr/produit/16969
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Pommeau de Bretagne,Pommeau de Bretagne,Pommeau de Bretagne,Autres boissons alcoolisées,Autres boissons spiritueuses,Ambré,Doux,,,http://www.inao.gouv.fr/produit/16934
IGP - Indication géographique protégée,,Agneau du Quercy,Agneau du Quercy,Agneau du Quercy,Viandes (et abats) frais,Ovin,,,,,http://www.inao.gouv.fr/produit/16892
IGP - Indication géographique protégée,,Volailles du Maine,Volailles du Maine,Volailles du Maine,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/16891
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Calvados Domfontais,Calvados Domfrontais,Calvados Domfrontais,Autres boissons alcoolisées,Eaux-de-vie de cidre et de poiré,Ambré,,,,http://www.inao.gouv.fr/produit/16842
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Calvados Pays d'Auge,Calvados Pays d'Auge,Calvados Pays d'Auge,Autres boissons alcoolisées,Eaux-de-vie de cidre et de poiré,Ambré,,,,http://www.inao.gouv.fr/produit/16841
IG - Indication géographique,,Rhum de la Guadeloupe,Rhum de la Guadeloupe Marie Galante,Rhum de la Guadeloupe Marie Galante,Autres boissons alcoolisées,Rhum,Blanc,,,,http://www.inao.gouv.fr/produit/16769
IG - Indication géographique,,Rhum des départements français d'outre-mer ou Rhum de l'outre-mer français,Rhum des départements français d'outre-mer ou Rhum de l'outre-mer français,Rhum des départements français d'outre-mer ou Rhum de l'outre-mer français,Autres boissons alcoolisées,Rhum,Blanc,,,,http://www.inao.gouv.fr/produit/16766
IG - Indication géographique,,Rhum des Antilles françaises,Rhum des Antilles françaises,Rhum des Antilles françaises,Autres boissons alcoolisées,Rhum,Blanc,,,,http://www.inao.gouv.fr/produit/16765
IG - Indication géographique,,Rhum de La Réunion ou Rhum de Réunion ou Rhum Réunion ou Rhum de l'Ile de La Réunion,Rhum de La Réunion ou Rhum de Réunion ou Rhum Réunion ou Rhum de l'Ile de La Ré,Rhum de La Réunion ou Rhum de Réunion ou Rhum Réunion ou Rhum de l'Ile de La Réunion,Autres boissons alcoolisées,Rhum,Blanc,,,,http://www.inao.gouv.fr/produit/16764
IG - Indication géographique,,Rhum de la Guyane ou Rhum de Guyane ou Rhum Guyane,Rhum de la Guyane ou Rhum de Guyane ou Rhum Guyane,Rhum de la Guyane ou Rhum de Guyane ou Rhum Guyane,Autres boissons alcoolisées,Rhum,Blanc,,,,http://www.inao.gouv.fr/produit/16763
IG - Indication géographique,,Rhum de la Guadeloupe,Rhum de la Guadeloupe,Rhum de la Guadeloupe blanc,Autres boissons alcoolisées,Rhum,Blanc,,,,http://www.inao.gouv.fr/produit/16762
